id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
8703875,4102,HOUSE,HOUSE,175000.0,FOR_SALE,3.0,140.0,INSTALLED,False,False,True,,True,30.0,0.0,2.0,False,GOOD
8740798,4400,HOUSE,HOUSE,175000.0,FOR_SALE,3.0,130.0,INSTALLED,False,False,True,,True,145.0,332.0,3.0,False,GOOD
8988279,4500,HOUSE,HOUSE,175000.0,FOR_SALE,2.0,105.0,HYPER_EQUIPPED,,False,,,,,40.0,3.0,,AS_NEW
8980207,6600,HOUSE,HOUSE,175000.0,FOR_SALE,4.0,,NOT_INSTALLED,,False,,,True,,605.0,2.0,,
8964768,6900,HOUSE,HOUSE,178000.0,FOR_SALE,2.0,90.0,SEMI_EQUIPPED,,False,,,,,0.0,2.0,,AS_NEW
9018380,4420,HOUSE,HOUSE,179000.0,FOR_SALE,2.0,120.0,INSTALLED,,False,True,10.0,True,90.0,288.0,3.0,,JUST_RENOVATED
9001309,6001,HOUSE,HOUSE,179000.0,FOR_SALE,3.0,207.0,SEMI_EQUIPPED,False,True,,,True,,484.0,3.0,False,TO_BE_DONE_UP
8770916,7822,HOUSE,HOUSE,180000.0,FOR_SALE,3.0,195.0,SEMI_EQUIPPED,,False,,,True,,215.0,3.0,,GOOD
8990667,1501,HOUSE,HOUSE,185000.0,FOR_SALE,3.0,108.0,INSTALLED,,False,,,,,138.0,2.0,,TO_RENOVATE
8780276,4050,HOUSE,HOUSE,189000.0,FOR_SALE,2.0,100.0,INSTALLED,False,False,True,25.0,True,120.0,0.0,2.0,False,GOOD
9013917,6670,HOUSE,HOUSE,190000.0,FOR_SALE,4.0,280.0,NOT_INSTALLED,,False,True,,,,0.0,2.0,False,TO_RENOVATE
8963918,4630,HOUSE,BUNGALOW,191500.0,FOR_SALE,3.0,85.0,INSTALLED,False,False,True,30.0,True,100.0,442.0,4.0,False,TO_BE_DONE_UP
8787322,4420,HOUSE,HOUSE,195000.0,FOR_SALE,3.0,105.0,,False,False,True,,True,170.0,230.0,2.0,False,GOOD
8837815,4500,HOUSE,HOUSE,199000.0,FOR_SALE,4.0,231.0,INSTALLED,,False,True,30.0,True,950.0,1125.0,3.0,,TO_RENOVATE
8788496,4800,HOUSE,HOUSE,199000.0,FOR_SALE,4.0,173.0,SEMI_EQUIPPED,False,False,True,19.0,True,125.0,0.0,2.0,False,GOOD
8943434,4030,HOUSE,HOUSE,199500.0,FOR_SALE,3.0,145.0,SEMI_EQUIPPED,,True,,,True,64.0,0.0,2.0,,TO_BE_DONE_UP
8875396,1480,HOUSE,HOUSE,200000.0,FOR_SALE,2.0,110.0,INSTALLED,False,False,True,9.0,,,70.0,2.0,False,GOOD
9010079,6220,HOUSE,HOUSE,200000.0,FOR_SALE,3.0,155.0,SEMI_EQUIPPED,,False,,,,,305.0,2.0,,TO_RENOVATE
8999004,6600,HOUSE,HOUSE,200000.0,FOR_SALE,4.0,,INSTALLED,,False,,,,,512.0,3.0,,
8988877,6640,HOUSE,HOUSE,200000.0,FOR_SALE,4.0,319.0,INSTALLED,,False,True,,,,1089.0,4.0,,GOOD
8891805,8860,HOUSE,HOUSE,200000.0,FOR_SALE,3.0,165.0,,,False,,,True,,336.0,2.0,,TO_BE_DONE_UP
8965605,4500,HOUSE,HOUSE,209000.0,FOR_SALE,3.0,180.0,INSTALLED,,False,True,6.0,,,85.0,2.0,,JUST_RENOVATED
8791976,6927,HOUSE,HOUSE,215000.0,FOR_SALE,3.0,170.0,NOT_INSTALLED,,False,True,,,,860.0,3.0,,GOOD
8730866,6511,HOUSE,COUNTRY_COTTAGE,220000.0,FOR_SALE,4.0,205.0,INSTALLED,False,False,True,,,,628.0,3.0,,GOOD
8881018,8870,HOUSE,HOUSE,220000.0,FOR_SALE,2.0,245.0,,,False,,,,,198.0,2.0,,TO_BE_DONE_UP
8876145,4500,HOUSE,HOUSE,225000.0,FOR_SALE,3.0,140.0,SEMI_EQUIPPED,,False,True,30.0,True,420.0,510.0,3.0,,GOOD
8962796,6600,HOUSE,HOUSE,225000.0,FOR_SALE,3.0,,SEMI_EQUIPPED,,False,,,True,,190.0,2.0,,
8909525,8860,HOUSE,HOUSE,225000.0,FOR_SALE,3.0,160.0,,False,False,True,,,,256.0,2.0,,JUST_RENOVATED
8990896,9000,HOUSE,HOUSE,225000.0,FOR_SALE,2.0,112.0,INSTALLED,,False,,,,,49.0,2.0,,JUST_RENOVATED
8960884,4557,HOUSE,HOUSE,229000.0,FOR_SALE,4.0,160.0,INSTALLED,,False,True,,,,2791.0,4.0,,TO_BE_DONE_UP
8697980,6183,HOUSE,HOUSE,229000.0,FOR_SALE,3.0,222.0,INSTALLED,False,False,True,,,,2036.0,2.0,,GOOD
8909532,8500,HOUSE,HOUSE,229000.0,FOR_SALE,3.0,172.0,,False,False,True,,,,298.0,3.0,,GOOD
8975763,5000,HOUSE,HOUSE,230000.0,FOR_SALE,4.0,172.0,SEMI_EQUIPPED,False,False,True,20.0,True,240.0,240.0,2.0,False,TO_RENOVATE
8963101,4460,HOUSE,HOUSE,239000.0,FOR_SALE,2.0,123.0,INSTALLED,,True,True,21.0,True,350.0,550.0,2.0,,GOOD
9025646,9600,HOUSE,HOUSE,239000.0,FOR_SALE,3.0,127.0,HYPER_EQUIPPED,,False,True,15.0,True,45.0,120.0,2.0,,GOOD
8635912,6700,HOUSE,HOUSE,240000.0,FOR_SALE,3.0,164.0,INSTALLED,,False,,,,,228.0,3.0,,GOOD
